abstract_algebra: mu0=0.300307, sigma0=0.078506, v0=0.00616324
high_school_mathematics: mu0=0.344185, sigma0=0.076244, v0=0.00581322
moral_scenarios: mu0=0.349141, sigma0=0.124815, v0=0.01557881
college_mathematics: mu0=0.349187, sigma0=0.068706, v0=0.00472054
college_physics: mu0=0.369170, sigma0=0.077155, v0=0.00595289
high_school_physics: mu0=0.369912, sigma0=0.085599, v0=0.00732723
global_facts: mu0=0.375473, sigma0=0.078195, v0=0.00611451
formal_logic: mu0=0.399132, sigma0=0.091696, v0=0.00840813
elementary_mathematics: mu0=0.412275, sigma0=0.094315, v0=0.00889526
college_chemistry: mu0=0.418187, sigma0=0.067730, v0=0.00458738
econometrics: mu0=0.441257, sigma0=0.119746, v0=0.01433913
professional_law: mu0=0.441585, sigma0=0.069831, v0=0.00487642
professional_accounting: mu0=0.448650, sigma0=0.077114, v0=0.00594655
machine_learning: mu0=0.458298, sigma0=0.106395, v0=0.01131990
high_school_chemistry: mu0=0.468384, sigma0=0.095691, v0=0.00915669
high_school_statistics: mu0=0.474019, sigma0=0.113519, v0=0.01288663
college_computer_science: mu0=0.484680, sigma0=0.082413, v0=0.00679196
virology: mu0=0.499610, sigma0=0.042747, v0=0.00182733
conceptual_physics: mu0=0.523157, sigma0=0.108915, v0=0.01186245
college_medicine: mu0=0.570705, sigma0=0.109110, v0=0.01190494
electrical_engineering: mu0=0.576363, sigma0=0.075188, v0=0.00565318
anatomy: mu0=0.585951, sigma0=0.087139, v0=0.00759312
high_school_macroeconomics: mu0=0.586238, sigma0=0.102246, v0=0.01045416
professional_psychology: mu0=0.612307, sigma0=0.113279, v0=0.01283219
professional_medicine: mu0=0.615882, sigma0=0.145761, v0=0.02124636
business_ethics: mu0=0.623860, sigma0=0.096786, v0=0.00936757
high_school_computer_science: mu0=0.626440, sigma0=0.118560, v0=0.01405639
high_school_microeconomics: mu0=0.628838, sigma0=0.124879, v0=0.01559477
clinical_knowledge: mu0=0.640921, sigma0=0.102664, v0=0.01053991
astronomy: mu0=0.643566, sigma0=0.114545, v0=0.01312066
public_relations: mu0=0.648964, sigma0=0.058201, v0=0.00338741
philosophy: mu0=0.656894, sigma0=0.088019, v0=0.00774728
human_aging: mu0=0.662870, sigma0=0.079195, v0=0.00627177
college_biology: mu0=0.663444, sigma0=0.138868, v0=0.01928437
medical_genetics: mu0=0.671067, sigma0=0.126324, v0=0.01595780
moral_disputes: mu0=0.672813, sigma0=0.079122, v0=0.00626023
high_school_european_history: mu0=0.677273, sigma0=0.177082, v0=0.03135817
nutrition: mu0=0.677891, sigma0=0.104745, v0=0.01097144
prehistory: mu0=0.683597, sigma0=0.106687, v0=0.01138217
security_studies: mu0=0.691358, sigma0=0.063450, v0=0.00402586
jurisprudence: mu0=0.706957, sigma0=0.086516, v0=0.00748502
high_school_biology: mu0=0.709622, sigma0=0.103460, v0=0.01070407
logical_fallacies: mu0=0.710536, sigma0=0.076465, v0=0.00584691
human_sexuality: mu0=0.712382, sigma0=0.094255, v0=0.00888408
computer_security: mu0=0.717600, sigma0=0.068490, v0=0.00469091
management: mu0=0.751489, sigma0=0.078192, v0=0.00611399
high_school_geography: mu0=0.759444, sigma0=0.084325, v0=0.00711063
international_law: mu0=0.761179, sigma0=0.075692, v0=0.00572922
world_religions: mu0=0.761657, sigma0=0.092996, v0=0.00864823
high_school_us_history: mu0=0.767719, sigma0=0.083291, v0=0.00693742
miscellaneous: mu0=0.771799, sigma0=0.077806, v0=0.00605376
high_school_world_history: mu0=0.773634, sigma0=0.078111, v0=0.00610130
high_school_psychology: mu0=0.781946, sigma0=0.079605, v0=0.00633697
sociology: mu0=0.792587, sigma0=0.074132, v0=0.00549552
high_school_government_and_politics: mu0=0.823036, sigma0=0.099995, v0=0.00999893
us_foreign_policy: mu0=0.823593, sigma0=0.070173, v0=0.00492422
marketing: mu0=0.845359, sigma0=0.051565, v0=0.00265896
---
tasks=57
mu0 range: [0.300307, 0.845359] (span 0.545052)
sigma0 range: [0.042747, 0.177082] (span 0.134335)
